5	26 42 57
6	12 25 36 47 58
7	09 19 29 40 51
8	02 13 24 35 46 57
9	08 19 30 41 52
10	03 14 25 36 47 58
11	09 18 27 37 46 56
12	05 15 24 33 43 52
13	02 11 20 30 39 49 58
14	08 17 26 36 45 55
15	04 14 24 33 43 52
16	03 14 25 36 47 59
17	10 22 33 45 56
18	08 20 33 46 59
19	12 25 38 51
20	04 17 30 43 56
21	09 24 39 54
22	09 24 39 54
23	09 24 41
